task_id,episode_id,time,x,x_dot,theta,theta_dot,u,x_ddot_true,theta_ddot_true,x_ddot_nom,theta_ddot_nom,res_x_ddot,res_theta_ddot,pole_length,cart_mass,pole_mass
0,0,1.7,0.04517913326278718,-0.19407137369443997,-0.019578467373946647,0.18230285803744345,-0.2759378791955954,-0.3449096857188541,0.305634127161164,-0.4645606619638186,0.7269730805481287,0.11965097624496451,-0.4213389533869647,0.375,0.75,0.07500000000000001
0,0,1.72,0.04115974191461084,-0.20096956740881705,-0.01581015656233331,0.18841554058066673,-0.20617099946428719,-0.2568623296622288,0.20356810912934703,-0.3462604748206067,0.5100909875269501,0.08939814515837785,-0.3065228783976031,0.375,0.75,0.07500000000000001
0,0,1.74,0.037037605634569606,-0.20610681400206163,-0.011960418507068237,0.19248690276325367,-0.13650817855475283,-0.1690061752921898,0.10345461104726006,-0.22819624598003363,0.2959216464756732,0.05919007068784382,-0.19246703542841315,0.375,0.75,0.07500000000000001
0,0,1.76,0.0328478668844115,-0.20948693750790542,-0.00806929860738426,0.19455599498419887,-0.06758607106747139,-0.082141348662855,0.00611401914753229,-0.11144427743252991,0.08629968271099524,0.029302928769674913,-0.08018566356346295,0.375,0.75,0.07500000000000001
0,0,1.78,0.028625271594788247,-0.21112976448116252,-0.00417573310004127,0.19467827536714952,-1.2298253237397194e-05,0.0029689155353090912,-0.08768448301021137,0.002968594822889706,-0.11704169172574676,3.207124193850379e-07,0.02935720871553539,0.375,0.75,0.07500000000000001
0,0,1.8,0.02440386387137912,-0.21107038617045634,-0.0003172413859023637,0.1929245857069453,0.06563867055613988,0.08560348475917384,-0.17722797199354046,0.11407200910071166,-0.3124825837071546,-0.02846852434153782,0.13525461171361414,0.375,0.75,0.07500000000000001
0,0,1.82,0.020216697541873663,-0.20935831647527287,0.003470359139439126,0.18938002626707448,0.1288293038132401,0.16508811600991075,-0.261864380774654,0.22095851796270374,-0.49852729631308906,-0.055870401952793,0.23666291553843505,0.375,0.75,0.07500000000000001
0,0,1.84,0.01609556645877217,-0.20605655415507465,0.007153213912470754,0.1841427386515814,0.18906244300695285,0.2407997930472333,-0.3410065715741567,0.322789424379509,-0.6738140468844035,-0.08198963133227571,0.3328074753102468,0.375,0.75,0.07500000000000001
0,0,1.86,0.012070755292889573,-0.20124055829412998,0.010699666056872718,0.17732260722009827,0.24588436378499243,0.312170580574872,-0.41413581909652136,0.41879997045336415,-0.8371233901909714,-0.10662938987849213,0.42298757109445,0.375,0.75,0.07500000000000001
0,0,1.8800000000000001,0.008170812359236921,-0.19499714668263254,0.014080463873636075,0.16903989083816784,0.29888743555036124,0.378690958865395,-0.48080463969233794,0.5083038298973602,-0.9873852167734142,-0.12961287103196523,0.5065805770810763,0.375,0.75,0.07500000000000001
0,0,1.9000000000000001,0.004422345809130428,-0.18742332750532464,0.017268939834522497,0.15942379804432108,0.34771235043132964,0.43991260142550587,-0.5406389090421695,0.5906968541025615,-1.1236842121244126,-0.15078425267705559,0.5830453030822431,0.375,0.75,0.07500000000000001
0,0,1.92,0.0008498442995941375,-0.17862507547681453,0.020241160231792052,0.1486110198634777,0.3920498932410589,0.49545056045105507,-0.5933392227000622,0.6654600243157107,-1.2452636866087885,-0.17000946386465565,0.6519244639087263,0.375,0.75,0.07500000000000001
0,0,1.94,-0.0025244769857617312,-0.16871606426779343,0.02297604493998158,0.13674423540947644,0.43164222721016265,0.5449848299248439,-0.6386814692829611,0.7321615691327827,-1.3515277170350581,-0.18717673920793887,0.712846247752097,0.375,0.75,0.07500000000000001
0,0,1.96,-0.0056808043391476624,-0.15781636766929655,0.025455457060457924,0.12397060602381722,0.4662836757481773,0.5882612640093196,-0.6765166041209844,0.7904582168499401,-1.4420415764688403,-0.20219695284062056,0.765524972347856,0.375,0.75,0.07500000000000001
0,0,1.98,-0.008601827186929865,-0.14605114238911016,0.027664262539285875,0.11044027394139753,0.4958209878847833,0.6250918383418874,-0.7067696303986611,0.8400955654888925,-1.516530466623486,-0.2150037271470051,0.8097608362248249,0.375,0.75,0.07500000000000001
0,0,2.0,-0.011272813299375312,-0.1335493056222724,0.02959036016595436,0.09630488133342431,0.5201530839041675,0.6553542533532998,-0.7294378139963232,0.88090756872717,-1.5748766046912022,-0.22555331537387024,0.8454387906948789,0.375,0.75,0.07500000000000001
0,0,2.02,-0.01368165771047944,-0.12044222055520641,0.031224682667024318,0.08171612505349785,0.5392302874229284,0.678990891049884,-0.7445881761367311,0.9128151525089702,-1.617114751473677,-0.2338242614590862,0.8725265753369459,0.375,0.75,0.07500000000000001
0,0,2.04,-0.015818905765163614,-0.10686240273420873,0.03256116989763958,0.06682436153076322,0.5530530601605186,0.6960071490788762,-0.7523543235419188,0.9358239937786534,-1.6434262982559018,-0.23981684469977727,0.891071974713983,0.375,0.75,0.07500000000000001
0,0,2.06,-0.01767775096021624,-0.0929422597526312,0.03359671539883808,0.05177727505992485,0.5616702653200064,0.7064691876307052,-0.7529326883676499,0.9500215086167388,-1.6541320546668208,-0.24355232098603363,0.9011993662991709,0.375,0.75,0.07500000000000001
0,0,2.08,-0.01925400848021658,-0.0788128760000171,0.034331087824689514,0.03671862129257185,0.5651769942574919,0.7105011351496209,-0.7465782591319168,0.9555731111544848,-1.6496838977297532,-0.24507197600486397,0.9031056385978364,0.375,0.75,0.07500000000000001
0,0,2.1,-0.020546065546157073,-0.06460285329702468,0.034766828946888186,0.021787056109933513,0.5637119985541152,0.7082818074658249,-0.7335998890766756,0.9527178163710974,-1.6306554532162503,-0.2444360089052725,0.8970555641395747,0.375,0.75,0.07500000000000001
0,0,2.12,-0.021554809889111237,-0.050437217147708185,0.034909130113456185,0.0071150583284,0.5574547753924831,0.7000410014886455,-0.7143552699888218,0.9417632687704304,-1.5977319844532845,-0.24172226728178492,0.8833767144644626,0.375,0.75,0.07500000000000001
0,0,2.14,-0.022283537831469944,-0.036436397117935275,0.03476568917202866,-0.007172047071376437,0.5466223579609232,0.686055428667489,-0.6892456574453257,0.9230802845218089,-1.551699660904798,-0.23702485585431987,0.8624540034594722,0.375,0.75,0.07500000000000001
0,0,2.16,-0.022737843602361654,-0.022715288544585495,0.034346549967623,-0.020956960220282952,0.5314658647282973,0.6666443554350104,-0.6587104290676352,0.8970969974566627,-1.4934343715647513,-0.23045264202165228,0.8347239424971161,0.375,0.75,0.07500000000000001
0,0,2.18,-0.02292549163107936,-0.009382401435885286,0.03366392659159029,-0.03413116880163566,0.5122668615547735,0.6421650174512507,-0.6232215503504307,0.8642926988751913,-1.423890235938089,-0.22212768142394068,0.8006686855876582,0.375,0.75,0.07500000000000001
0,0,2.2,-0.022856273652816568,0.0034608989131397275,0.0327320145954174,-0.04659559980864427,0.4893335891398827,0.6130078722218627,-0.583278014254543,0.8251914581715154,-1.3440879504902707,-0.2121835859496527,0.7608099362357278,0.375,0.75,0.07500000000000001
0,0,2.22,-0.02254185252566503,0.015721056357576983,0.031566791393542695,-0.05826116009373513,0.4629971056209652,0.5795917510418558,-0.5394003119732347,0.7803556064648856,-1.2551030926585964,-0.20076385542302977,0.7157027806853618,0.375,0.75,0.07500000000000001
